epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.7569,1.97903,4.30226,1.55246,0.16107,0.28235,0.14493,0.09695,1.92449,4.06773,1.41208,4e-05,4e-05,4e-05
2,30.0773,1.88754,4.22199,1.51458,0.84564,0.45882,0.70611,0.38427,1.70836,1.83412,1.38303,9.835e-05,9.835e-05,9.835e-05
3,31.917,1.48515,2.06985,1.24904,0.94426,1,0.98522,0.58318,1.32596,1.31566,1.10263,0.00015472,0.00015472,0.00015472
4,33.7952,1.40835,0.88272,1.17639,0.92762,1,0.98904,0.56417,1.36294,2.16869,1.10928,0.00020911,0.00020911,0.00020911
5,37.318,1.30396,0.8749,1.18312,0.91728,1,0.98468,0.54461,1.40729,1.91396,1.13134,0.00026152,0.00026152,0.00026152
6,39.0595,1.39702,0.78921,1.16876,0.92805,0.97647,0.95869,0.48856,1.47454,2.3472,1.21842,0.00031195,0.00031195,0.00031195
7,41.2087,1.35446,0.73756,1.18324,0.86041,0.98824,0.97451,0.53995,1.40578,2.77759,1.18514,0.0003604,0.0003604,0.0003604
8,43.7016,1.21699,0.69969,1.10946,0.85204,1,0.9874,0.55446,1.35412,2.81599,1.16985,0.00040687,0.00040687,0.00040687
9,45.4374,1.23696,0.69148,1.1094,0.90946,0.97647,0.97093,0.56306,1.35606,2.19665,1.22321,0.00045136,0.00045136,0.00045136
10,47.1744,1.19526,0.63196,1.10698,0.93951,0.98824,0.97637,0.58736,1.34636,1.74922,1.20571,0.00049387,0.00049387,0.00049387
11,49.0143,1.20826,0.6273,1.11105,0.93745,0.97647,0.97712,0.57237,1.44371,1.42407,1.25671,0.0005344,0.0005344,0.0005344
12,50.7356,1.21432,0.62921,1.09871,0.95406,1,0.99079,0.59311,1.39671,1.35507,1.27057,0.00057295,0.00057295,0.00057295
13,52.6428,1.19282,0.61202,1.12186,0.97177,0.98824,0.99324,0.56154,1.44189,1.23423,1.3382,0.00060952,0.00060952,0.00060952
14,54.7897,1.19189,0.64418,1.10288,0.97666,0.98467,0.99077,0.54817,1.5193,1.30501,1.38506,0.00064411,0.00064411,0.00064411
15,57.1222,1.15632,0.62955,1.12743,0.93337,1,0.98572,0.56598,1.41946,1.25607,1.3236,0.00067672,0.00067672,0.00067672
16,59.9629,1.16018,0.58768,1.12322,0.96012,1,0.98955,0.55647,1.43413,1.2978,1.30114,0.00070735,0.00070735,0.00070735
17,61.6736,1.12727,0.57062,1.07871,0.91373,0.99689,0.95496,0.52419,1.55849,1.53179,1.44035,0.000736,0.000736,0.000736
18,63.5474,1.21224,0.63266,1.10505,0.91109,1,0.9828,0.55757,1.49978,1.46214,1.35106,0.00076267,0.00076267,0.00076267
19,65.2489,1.18112,0.62392,1.09936,0.95064,1,0.98452,0.57291,1.45371,1.3523,1.27513,0.00078736,0.00078736,0.00078736
